src_type,src_id,dst_type,dst_id,edge_type
attribute_node,207,attribute_node,207,selfLoop
class_node,9,class_node,9,selfLoop
value_node,1121,value_node,1121,selfLoop
value_node,752,value_node,752,selfLoop
value_node,226,value_node,226,selfLoop
attribute_node,302,attribute_node,302,selfLoop
value_node,31,value_node,31,selfLoop
class_node,612,class_node,612,selfLoop
value_node,295,value_node,295,selfLoop
attribute_node,616,attribute_node,616,selfLoop
class_node,737,class_node,737,selfLoop
type_node,98,type_node,98,selfLoop
class_node,431,class_node,431,selfLoop
class_node,558,class_node,558,selfLoop
value_node,1011,value_node,1011,selfLoop
value_node,235,value_node,235,selfLoop
attribute_node,545,attribute_node,545,selfLoop
value_node,355,value_node,355,selfLoop
attribute_node,481,attribute_node,481,selfLoop
value_node,292,value_node,292,selfLoop
type_node,365,type_node,365,selfLoop
value_node,694,value_node,694,selfLoop
class_node,257,class_node,257,selfLoop
type_node,106,type_node,106,selfLoop
type_node,153,type_node,153,selfLoop
attribute_node,175,attribute_node,175,selfLoop
attribute_node,416,attribute_node,416,selfLoop
attribute_node,1,attribute_node,1,selfLoop
class_node,775,class_node,775,selfLoop
value_node,89,value_node,89,selfLoop
value_node,557,value_node,557,selfLoop
value_node,885,value_node,885,selfLoop
class_node,255,class_node,255,selfLoop
class_node,539,class_node,539,selfLoop
class_node,252,class_node,252,selfLoop
type_node,69,type_node,69,selfLoop
class_node,323,class_node,323,selfLoop
attribute_node,845,attribute_node,845,selfLoop
type_node,30,type_node,30,selfLoop
value_node,1099,value_node,1099,selfLoop
attribute_node,330,attribute_node,330,selfLoop
class_node,665,class_node,665,selfLoop
value_node,279,value_node,279,selfLoop
value_node,411,value_node,411,selfLoop
attribute_node,318,attribute_node,318,selfLoop
attribute_node,676,attribute_node,676,selfLoop
value_node,333,value_node,333,selfLoop
class_node,531,class_node,531,selfLoop
value_node,616,value_node,616,selfLoop
class_node,434,class_node,434,selfLoop
attribute_node,428,attribute_node,428,selfLoop
attribute_node,185,attribute_node,185,selfLoop
attribute_node,147,attribute_node,147,selfLoop
value_node,1178,value_node,1178,selfLoop
class_node,130,class_node,130,selfLoop
attribute_node,608,attribute_node,608,selfLoop
type_node,203,type_node,203,selfLoop
value_node,1039,value_node,1039,selfLoop
value_node,518,value_node,518,selfLoop
attribute_node,5,attribute_node,5,selfLoop
value_node,877,value_node,877,selfLoop
value_node,901,value_node,901,selfLoop
value_node,785,value_node,785,selfLoop
type_node,362,type_node,362,selfLoop
attribute_node,278,attribute_node,278,selfLoop
attribute_node,292,attribute_node,292,selfLoop
value_node,973,value_node,973,selfLoop
type_node,81,type_node,81,selfLoop
attribute_node,521,attribute_node,521,selfLoop
value_node,119,value_node,119,selfLoop
type_node,198,type_node,198,selfLoop
class_node,241,class_node,241,selfLoop
value_node,126,value_node,126,selfLoop
class_node,203,class_node,203,selfLoop
type_node,180,type_node,180,selfLoop
value_node,569,value_node,569,selfLoop
value_node,1070,value_node,1070,selfLoop
type_node,276,type_node,276,selfLoop
attribute_node,194,attribute_node,194,selfLoop
class_node,133,class_node,133,selfLoop
value_node,442,value_node,442,selfLoop
attribute_node,573,attribute_node,573,selfLoop
attribute_node,578,attribute_node,578,selfLoop
class_node,756,class_node,756,selfLoop
attribute_node,832,attribute_node,832,selfLoop
value_node,670,value_node,670,selfLoop
value_node,635,value_node,635,selfLoop
value_node,188,value_node,188,selfLoop
value_node,247,value_node,247,selfLoop
attribute_node,566,attribute_node,566,selfLoop
value_node,137,value_node,137,selfLoop
attribute_node,397,attribute_node,397,selfLoop
